Stack It Up (Feat. A Boogie wit da Hoodie),Liam Payne,neutral,https://www.youtube.com/watch?v=e1r62iOPkGw,
Sucker,Jonas Brothers,neutral,https://www.youtube.com/watch?v=CnAmeh0-E-U,
HOLIDAY (Feat. DPR LIVE),수지 (Suzy),neutral,https://www.youtube.com/watch?v=lpzJNwur6Zk,
너 없인 안 된다,비투비,neutral,https://www.youtube.com/watch?v=RW9sb48p5fA,
Do You Think About Me ('하트 시그널 2' 타이틀 음악),Benjamin Ingrosso,neutral,https://www.youtube.com/watch?v=7U-y2-08NJI,
All For You,"서인국, 정은지",neutral,https://www.youtube.com/watch?v=3fR9Uzt06WM,
Kiss Me More (Feat. SZA),Doja Cat,neutral,https://www.youtube.com/watch?v=0EVVKs6DQLo,
혜화동 (혹은 쌍문동),박보람,neutral,https://www.youtube.com/watch?v=7_mNEE3Y96A,
소녀,오혁,neutral,https://www.youtube.com/watch?v=bLoO0FSXncg,
Sims (Miquela Remix),Lauv,neutral,https://www.youtube.com/watch?v=nY3fL8cPQew,
Left Right Left,Charlie Puth,neutral,https://www.youtube.com/watch?v=z-eg-bBCQJM,
걱정말아요 그대,이적,neutral,https://www.youtube.com/watch?v=Dic27EnDDls,
Crazy AF,In Real Life,neutral,https://www.youtube.com/watch?v=ccmI7jpeFdA,
Know Your Worth,"Khalid, Disclosure",neutral,https://www.youtube.com/watch?v=M-j159LFwGw,
Yellow Hearts (feat. Audrey Mika),Ant Saunders,neutral,https://www.youtube.com/watch?v=mVKUW3cu_lY,
Can't Control Myself,태연 (TAEYEON),neutral,https://www.youtube.com/watch?v=RccDIpx4ZMM,
11:11,태연 (TAEYEON),neutral,https://www.youtube.com/watch?v=ulr0muQKjk0,
Wonderwall,Oasis,neutral,https://www.youtube.com/watch?v=6hzrDeceEKc,
Champagne Supernova,Oasis,neutral,https://www.youtube.com/watch?v=tI-5uv4wryI,
Sunday Morning,Hamzaa,neutral,https://www.youtube.com/watch?v=YXcKDbSe80w,
Stronger Than,Gabe Bondoc,neutral,https://www.youtube.com/watch?v=rAu4DzLQhYI,
maybe we need a break,slchld,neutral,https://www.youtube.com/watch?v=MOGORrUJn5Q,
Gonna Be Honest,Jae Jin,neutral,https://www.youtube.com/watch?v=CwaS3G2TG-c,
First Choice ('김연아' 맥심 화이트골드 CF 삽입곡),Gabe Bondoc,neutral,https://www.youtube.com/watch?v=0p3TEibQm3k,
My Favourite Clothes,RINI,neutral,https://www.youtube.com/watch?v=oNIBAL8x9-4,
The One,Gabe Bondoc,neutral,https://www.youtube.com/watch?v=XrzbXItgbyk,
All for You (Feat. Theo Juarez),Micah Edwards,neutral,https://www.youtube.com/watch?v=USJaZ0mXbqk,
Psycho,Red Velvet (레드벨벳),neutral,https://www.youtube.com/watch?v=uR8Mrt1IpXg,
One In A Million (Feat. Stefani Kimber),Jesse Gold,neutral,https://www.youtube.com/watch?v=KAcNcREEONY,
cheeze (Feat. Andrew Kang),Sarah Kang,neutral,https://www.youtube.com/watch?v=VYJAXO_1p40,
